Gene1	Gene2	Protein1	Protein2
KANSL1	TMCC1	KAT8 regulatory NSL complex subunit 1 (MLL1/MLL complex subunit KANSL1) (MSL1 homolog 1) (hMSL1v1) (NSL complex protein NSL1) (Non-specific lethal 1 homolog)	Transmembrane and coiled-coil domains protein 1
KAT2B	TADA2A	Histone acetyltransferase KAT2B (EC 2.3.1.48) (Histone acetyltransferase PCAF) (Histone acetylase PCAF) (Lysine acetyltransferase 2B) (P300/CBP-associated factor) (P/CAF) (Spermidine acetyltransferase KAT2B) (EC 2.3.1.57)	Transcriptional adapter 2-alpha (Transcriptional adapter 2-like) (ADA2-like protein)
KAT6A	KAT6B	Histone acetyltransferase KAT6A (EC 2.3.1.48) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 3) (MYST-3) (Monocytic leukemia zinc finger protein) (Runt-related transcription factor-binding protein 2) (Zinc finger protein 220)	Histone acetyltransferase KAT6B (EC 2.3.1.48) (Histone acetyltransferase MOZ2) (MOZ, YBF2/SAS3, SAS2 and TIP60 protein 4) (MYST-4) (Monocytic leukemia zinc finger protein-related factor)
KATNA1	KATNB1	Katanin p60 ATPase-containing subunit A1 (Katanin p60 subunit A1) (EC 5.6.1.1) (p60 katanin)	Katanin p80 WD40 repeat-containing subunit B1 (Katanin p80 subunit B1) (p80 katanin)
KBTBD4	ZBTB25	Kelch repeat and BTB domain-containing protein 4 (BTB and kelch domain-containing protein 4)	Zinc finger and BTB domain-containing protein 25 (Zinc finger protein 46) (Zinc finger protein KUP)
KBTBD6	KBTBD7	Kelch repeat and BTB domain-containing protein 6	Kelch repeat and BTB domain-containing protein 7
KBTBD8	USPL1	Kelch repeat and BTB domain-containing protein 8 (T-cell activation kelch repeat protein) (TA-KRP)	SUMO-specific isopeptidase USPL1 (EC 3.4.22.-) (Ubiquitin-specific peptidase-like protein 1) (USP-like 1)
KCND2	KCNIP2	A-type voltage-gated potassium channel KCND2 (Potassium voltage-gated channel subfamily D member 2) (Voltage-gated potassium channel subunit Kv4.2)	A-type potassium channel modulatory protein KCNIP2 (Cardiac voltage-gated potassium channel modulatory subunit) (Kv channel-interacting protein 2) (KChIP2) (Potassium channel-interacting protein 2)
KCNE2	MUC6	Potassium voltage-gated channel subfamily E member 2 (MinK-related peptide 1) (MiRP1) (Minimum potassium ion channel-related peptide 1) (Potassium channel subunit beta MiRP1)	Mucin-6 (MUC-6) (Gastric mucin-6)
KCNG3	KCNG3	Voltage-gated potassium channel regulatory subunit KCNG3 (Potassium voltage-gated channel subfamily G member 3) (Voltage-gated potassium channel subunit Kv10.1) (Voltage-gated potassium channel subunit Kv6.3)	Voltage-gated potassium channel regulatory subunit KCNG3 (Potassium voltage-gated channel subfamily G member 3) (Voltage-gated potassium channel subunit Kv10.1) (Voltage-gated potassium channel subunit Kv6.3)
KCNH4	PDE1B	Voltage-gated delayed rectifier potassium channel KCNH4 (Brain-specific eag-like channel 2) (BEC2) (Ether-a-go-go-like potassium channel 1) (ELK channel 1) (ELK1) (Potassium voltage-gated channel subfamily H member 4) (Voltage-gated potassium channel subunit Kv12.3)	Dual specificity calcium/calmodulin-dependent 3',5'-cyclic nucleotide phosphodiesterase 1B (Cam-PDE 1B) (EC 3.1.4.17) (63 kDa Cam-PDE)
KCNH8	MEGF10	Voltage-gated delayed rectifier potassium channel KCNH8 (ELK1) (hElk-1) (Ether-a-go-go-like potassium channel 3) (ELK channel 3) (ELK3) (Potassium voltage-gated channel subfamily H member 8) (Voltage-gated potassium channel subunit Kv12.1)	Multiple epidermal growth factor-like domains protein 10 (Multiple EGF-like domains protein 10)
KCNJ14	KCNJ14	ATP-sensitive inward rectifier potassium channel 14 (Inward rectifier K(+) channel Kir2.4) (IRK-4) (Potassium channel, inwardly rectifying subfamily J member 14)	ATP-sensitive inward rectifier potassium channel 14 (Inward rectifier K(+) channel Kir2.4) (IRK-4) (Potassium channel, inwardly rectifying subfamily J member 14)
KCNJ3	KCNJ5	G protein-activated inward rectifier potassium channel 1 (GIRK-1) (Inward rectifier K(+) channel Kir3.1) (Potassium channel, inwardly rectifying subfamily J member 3)	G protein-activated inward rectifier potassium channel 4 (GIRK-4) (Cardiac inward rectifier) (CIR) (Heart KATP channel) (Inward rectifier K(+) channel Kir3.4) (IRK-4) (KATP-1) (Potassium channel, inwardly rectifying subfamily J member 5)
KCNK2	KCNK2	Potassium channel subfamily K member 2 (Outward rectifying potassium channel protein TREK-1) (TREK-1 K(+) channel subunit) (Two pore domain potassium channel TREK1) (Two pore potassium channel TPKC1) (K2P2.1)	Potassium channel subfamily K member 2 (Outward rectifying potassium channel protein TREK-1) (TREK-1 K(+) channel subunit) (Two pore domain potassium channel TREK1) (Two pore potassium channel TPKC1) (K2P2.1)
KCNK3	SLC12A1	Potassium channel subfamily K member 3 (Acid-sensitive potassium channel protein TASK-1) (TWIK-related acid-sensitive K(+) channel 1) (Two pore potassium channel KT3.1) (Two pore K(+) channel KT3.1)	Solute carrier family 12 member 1 (Bumetanide-sensitive sodium-(potassium)-chloride cotransporter 1) (BSC1) (Kidney-specific Na-K-Cl symporter) (Na-K-2Cl cotransporter 2) (NKCC2)
KCNMB2	KCNMB2	Calcium-activated potassium channel subunit beta-2 (BK channel subunit beta-2) (BKbeta2) (Hbeta2) (Calcium-activated potassium channel, subfamily M subunit beta-2) (Charybdotoxin receptor subunit beta-2) (Hbeta3) (K(VCA)beta-2) (Maxi K channel subunit beta-2) (Slo-beta-2)	Calcium-activated potassium channel subunit beta-2 (BK channel subunit beta-2) (BKbeta2) (Hbeta2) (Calcium-activated potassium channel, subfamily M subunit beta-2) (Charybdotoxin receptor subunit beta-2) (Hbeta3) (K(VCA)beta-2) (Maxi K channel subunit beta-2) (Slo-beta-2)
KCTD3	PHKA2	BTB/POZ domain-containing protein KCTD3 (Renal carcinoma antigen NY-REN-45)	Phosphorylase b kinase regulatory subunit alpha, liver isoform (Phosphorylase kinase alpha L subunit)
KCTD9	NEDD1	BTB/POZ domain-containing protein KCTD9	Protein NEDD1 (Neural precursor cell expressed developmentally down-regulated protein 1) (NEDD-1)
KDM6A	PAXIP1	Lysine-specific demethylase 6A (EC 1.14.11.68) (Histone demethylase UTX) (Ubiquitously-transcribed TPR protein on the X chromosome) (Ubiquitously-transcribed X chromosome tetratricopeptide repeat protein) ([histone H3]-trimethyl-L-lysine(27) demethylase 6A)	PAX-interacting protein 1 (PAX transactivation activation domain-interacting protein)
KIAA1191	ZBTB33	Putative monooxygenase p33MONOX (EC 1.-.-.-) (Brain-derived rescue factor p60MONOX) (Flavin monooxygenase motif-containing protein of 33 kDa)	Transcriptional regulator Kaiso (Zinc finger and BTB domain-containing protein 33)
KIAA1217	SORBS2	Sickle tail protein homolog	Sorbin and SH3 domain-containing protein 2 (Arg-binding protein 2) (ArgBP2) (Arg/Abl-interacting protein 2) (Sorbin)
KIAA1328	PDGFD	Protein hinderin	Platelet-derived growth factor D (PDGF-D) (Iris-expressed growth factor) (Spinal cord-derived growth factor B) (SCDGF-B) [Cleaved into: Platelet-derived growth factor D, latent form (PDGFD latent form); Platelet-derived growth factor D, receptor-binding form (PDGFD receptor-binding form)]
KIF20A	KIF20B	Kinesin-like protein KIF20A (GG10_2) (Mitotic kinesin-like protein 2) (MKlp2) (Rab6-interacting kinesin-like protein) (Rabkinesin-6)	Kinesin-like protein KIF20B (Cancer/testis antigen 90) (CT90) (Kinesin family member 20B) (Kinesin-related motor interacting with PIN1) (M-phase phosphoprotein 1) (MPP1)
KIR2DL1	KIR3DL2	Killer cell immunoglobulin-like receptor 2DL1 (CD158 antigen-like family member A) (Natural killer-associated transcript 1) (NKAT-1) (p58 natural killer cell receptor clones CL-42/47.11) (p58 NK receptor CL-42/47.11) (p58.1 MHC class-I-specific NK receptor) (CD antigen CD158a)	Killer cell immunoglobulin-like receptor 3DL2 (CD158 antigen-like family member K) (Natural killer-associated transcript 4) (NKAT-4) (p70 natural killer cell receptor clone CL-5) (p70 NK receptor CL-5) (CD antigen CD158k)
KLC2	KLC2	Kinesin light chain 2 (KLC 2)	Kinesin light chain 2 (KLC 2)
KLC4	POFUT1	Kinesin light chain 4 (KLC 4) (Kinesin-like protein 8)	GDP-fucose protein O-fucosyltransferase 1 (EC 2.4.1.221) (Peptide-O-fucosyltransferase 1) (O-FucT-1)
KLF11	NFIL3	Krueppel-like factor 11 (Transforming growth factor-beta-inducible early growth response protein 2) (TGFB-inducible early growth response protein 2) (TIEG-2)	Nuclear factor interleukin-3-regulated protein (E4 promoter-binding protein 4) (Interleukin-3 promoter transcriptional activator) (Interleukin-3-binding protein 1) (Transcriptional activator NF-IL3A)
KLF14	KLF14	Krueppel-like factor 14 (Basic transcription element-binding protein 5) (BTE-binding protein 5) (Transcription factor BTEB5)	Krueppel-like factor 14 (Basic transcription element-binding protein 5) (BTE-binding protein 5) (Transcription factor BTEB5)
KLF2	KLF4	Krueppel-like factor 2 (Lung krueppel-like factor)	Krueppel-like factor 4 (Epithelial zinc finger protein EZF) (Gut-enriched krueppel-like factor)
KLHDC2	YIPF4	Kelch domain-containing protein 2 (Hepatocellular carcinoma-associated antigen 33) (Host cell factor homolog LCP) (Host cell factor-like protein 1) (HCLP-1)	Protein YIPF4 (YIP1 family member 4)
KLHL12	MIEF1	Kelch-like protein 12 (CUL3-interacting protein 1) (DKIR homolog) (hDKIR)	Mitochondrial dynamics protein MIEF1 (Mitochondrial dynamics protein of 51 kDa) (Mitochondrial elongation factor 1) (Smith-Magenis syndrome chromosomal region candidate gene 7 protein-like) (SMCR7-like protein)
KLHL15	ZBTB11	Kelch-like protein 15	Zinc finger and BTB domain-containing protein 11
KLHL22	SIMC1	Kelch-like protein 22	SUMO-interacting motif-containing protein 1 (Platform element for inhibition of autolytic degradation)
KLHL31	MYLK3	Kelch-like protein 31 (BTB and kelch domain-containing protein 6) (Kelch repeat and BTB domain-containing protein 1) (Kelch-like protein KLHL)	Myosin light chain kinase 3 (EC 2.7.11.18) (Cardiac-MyBP-C-associated Ca/CaM kinase) (Cardiac-MLCK)
KLK10	KLK11	Kallikrein-10 (EC 3.4.21.-) (Normal epithelial cell-specific 1) (Protease serine-like 1)	Kallikrein-11 (hK11) (EC 3.4.21.-) (Hippostasin) (Serine protease 20) (Trypsin-like protease) [Cleaved into: Kallikrein-11 inactive chain 1; Kallikrein-11 inactive chain 2]
KLK3	KLK3	Prostate-specific antigen (PSA) (EC 3.4.21.77) (Gamma-seminoprotein) (Seminin) (Kallikrein-3) (P-30 antigen) (Semenogelase)	Prostate-specific antigen (PSA) (EC 3.4.21.77) (Gamma-seminoprotein) (Seminin) (Kallikrein-3) (P-30 antigen) (Semenogelase)
KLRC2	KLRD1	NKG2-C type II integral membrane protein (CD159 antigen-like family member C) (NK cell receptor C) (NKG2-C-activating NK receptor) (CD antigen CD159c)	Natural killer cells antigen CD94 (KP43) (Killer cell lectin-like receptor subfamily D member 1) (NK cell receptor) (CD antigen CD94)
KRBOX4	ZNF34	KRAB domain-containing protein 4 (KRAB box domain-containing protein 4)	Zinc finger protein 34 (Zinc finger protein KOX32)
KRT18	KRT8	Keratin, type I cytoskeletal 18 (Cell proliferation-inducing gene 46 protein) (Cytokeratin-18) (CK-18) (Keratin-18) (K18)	Keratin, type II cytoskeletal 8 (Cytokeratin-8) (CK-8) (Keratin-8) (K8) (Type-II keratin Kb8)
KRT36	KRT86	Keratin, type I cuticular Ha6 (Hair keratin, type I Ha6) (Keratin-36) (K36)	Keratin, type II cuticular Hb6 (Hair keratin K2.11) (Keratin-86) (K86) (Type II hair keratin Hb6) (Type-II keratin Kb26)
KRT5	KRT6A	Keratin, type II cytoskeletal 5 (58 kDa cytokeratin) (Cytokeratin-5) (CK-5) (Keratin-5) (K5) (Type-II keratin Kb5)	Keratin, type II cytoskeletal 6A (Cytokeratin-6A) (CK-6A) (Cytokeratin-6D) (CK-6D) (Keratin-6A) (K6A) (Type-II keratin Kb6) (allergen Hom s 5)
KRT6B	KRT6C	Keratin, type II cytoskeletal 6B (Cytokeratin-6B) (CK-6B) (Keratin-6B) (K6B) (Type-II keratin Kb10)	Keratin, type II cytoskeletal 6C (Cytokeratin-6C) (CK-6C) (Cytokeratin-6E) (CK-6E) (Keratin K6h) (Keratin-6C) (K6C) (Type-II keratin Kb12)
KRT7	TNFRSF12A	Keratin, type II cytoskeletal 7 (Cytokeratin-7) (CK-7) (Keratin-7) (K7) (Sarcolectin) (Type-II keratin Kb7)	Tumor necrosis factor receptor superfamily member 12A (Fibroblast growth factor-inducible immediate-early response protein 14) (FGF-inducible 14) (Tweak-receptor) (TweakR) (CD antigen CD266)
KRTAP2-3	KRTAP3-1	Keratin-associated protein 2-3 (High sulfur keratin-associated protein 2.4) (Keratin-associated protein 2.3)	Keratin-associated protein 3-1 (High sulfur keratin-associated protein 3.1) (Keratin-associated protein 3.1)
KRTAP4-9	PAGE3	Keratin-associated protein 4-9 (Keratin-associated protein 4.9) (Ultrahigh sulfur keratin-associated protein 4.9)	P antigen family member 3 (PAGE-3) (G antigen family D member 1) (Prostate-associated gene 3 protein)
KRTAP5-11	KRTAP5-11	Keratin-associated protein 5-11 (Keratin-associated protein 5.11) (Ultrahigh sulfur keratin-associated protein 5.11)	Keratin-associated protein 5-11 (Keratin-associated protein 5.11) (Ultrahigh sulfur keratin-associated protein 5.11)
KRTAP5-8	KRTAP5-8	Keratin-associated protein 5-8 (Keratin, ultra high-sulfur matrix protein B) (Keratin-associated protein 5.8) (UHS keratin B) (UHS KerB) (Ultrahigh sulfur keratin-associated protein 5.8)	Keratin-associated protein 5-8 (Keratin, ultra high-sulfur matrix protein B) (Keratin-associated protein 5.8) (UHS keratin B) (UHS KerB) (Ultrahigh sulfur keratin-associated protein 5.8)
KRTAP5-9	KRTAP5-9	Keratin-associated protein 5-9 (Keratin, cuticle, ultrahigh sulfur 1) (Keratin, ultra high-sulfur matrix protein A) (Keratin-associated protein 5.9) (UHS keratin A) (UHS KerA) (Ultrahigh sulfur keratin-associated protein 5.9)	Keratin-associated protein 5-9 (Keratin, cuticle, ultrahigh sulfur 1) (Keratin, ultra high-sulfur matrix protein A) (Keratin-associated protein 5.9) (UHS keratin A) (UHS KerA) (Ultrahigh sulfur keratin-associated protein 5.9)
KSR2	KSR2	Kinase suppressor of Ras 2 (hKSR2) (EC 2.7.11.1)	Kinase suppressor of Ras 2 (hKSR2) (EC 2.7.11.1)
L2HGDH	MTFMT	L-2-hydroxyglutarate dehydrogenase, mitochondrial (EC 1.1.99.2) (Duranin)	Methionyl-tRNA formyltransferase, mitochondrial (MtFMT) (EC 2.1.2.9)
LAMB2	LAMB2	Laminin subunit beta-2 (Laminin B1s chain) (Laminin-11 subunit beta) (Laminin-14 subunit beta) (Laminin-15 subunit beta) (Laminin-3 subunit beta) (Laminin-4 subunit beta) (Laminin-7 subunit beta) (Laminin-9 subunit beta) (S-laminin subunit beta) (S-LAM beta)	Laminin subunit beta-2 (Laminin B1s chain) (Laminin-11 subunit beta) (Laminin-14 subunit beta) (Laminin-15 subunit beta) (Laminin-3 subunit beta) (Laminin-4 subunit beta) (Laminin-7 subunit beta) (Laminin-9 subunit beta) (S-laminin subunit beta) (S-LAM beta)
LAMB3	TACSTD2	Laminin subunit beta-3 (Epiligrin subunit bata) (Kalinin B1 chain) (Kalinin subunit beta) (Laminin B1k chain) (Laminin-5 subunit beta) (Nicein subunit beta)	Tumor-associated calcium signal transducer 2 (Cell surface glycoprotein Trop-2) (Membrane component chromosome 1 surface marker 1) (Pancreatic carcinoma marker protein GA733-1)
LAMP1	LAMP2	Lysosome-associated membrane glycoprotein 1 (LAMP-1) (Lysosome-associated membrane protein 1) (CD107 antigen-like family member A) (CD antigen CD107a)	Lysosome-associated membrane glycoprotein 2 (LAMP-2) (Lysosome-associated membrane protein 2) (CD107 antigen-like family member B) (LGP-96) (CD antigen CD107b)
LAT2	LAT2	Linker for activation of T-cells family member 2 (Linker for activation of B-cells) (Membrane-associated adapter molecule) (Non-T-cell activation linker) (Williams-Beuren syndrome chromosomal region 15 protein) (Williams-Beuren syndrome chromosomal region 5 protein)	Linker for activation of T-cells family member 2 (Linker for activation of B-cells) (Membrane-associated adapter molecule) (Non-T-cell activation linker) (Williams-Beuren syndrome chromosomal region 15 protein) (Williams-Beuren syndrome chromosomal region 5 protein)
LBH	LBH	Protein LBH (hLBH) (Limb bud and heart development protein homolog)	Protein LBH (hLBH) (Limb bud and heart development protein homolog)
LCA5	TDRD9	Lebercilin (Leber congenital amaurosis 5 protein)	ATP-dependent RNA helicase TDRD9 (EC 3.6.4.13) (Tudor domain-containing protein 9)
LCE1B	PRM2	Late cornified envelope protein 1B (Late envelope protein 2) (Small proline-rich-like epidermal differentiation complex protein 2A)	Protamine-2 (Sperm histone P2) (Sperm protamine P2) [Cleaved into: Basic nuclear protein HPI1; Basic nuclear protein HPI2; Basic nuclear protein HPS1; Basic nuclear protein HPS2; Sperm histone HP4 (Sperm protamine P4); Sperm histone HP2 (Sperm protamine P2) (P2'); Sperm histone HP3 (P2'') (Sperm protamine P3)]
LCE2C	SPANXN5	Late cornified envelope protein 2C (Late envelope protein 11)	Sperm protein associated with the nucleus on the X chromosome N5 (Nuclear-associated protein SPAN-Xn5) (SPANX-N5) (SPANX family member N5)
LDB3	SRL	LIM domain-binding protein 3 (Protein cypher) (Z-band alternatively spliced PDZ-motif protein)	Sarcalumenin
LDHA	LDHB	L-lactate dehydrogenase A chain (LDH-A) (EC 1.1.1.27) (Cell proliferation-inducing gene 19 protein) (LDH muscle subunit) (LDH-M) (Renal carcinoma antigen NY-REN-59)	L-lactate dehydrogenase B chain (LDH-B) (EC 1.1.1.27) (LDH heart subunit) (LDH-H) (Renal carcinoma antigen NY-REN-46)
LDLRAD4	NR3C1	Low-density lipoprotein receptor class A domain-containing protein 4	Glucocorticoid receptor (GR) (Nuclear receptor subfamily 3 group C member 1)
LEF1	TCF7	Lymphoid enhancer-binding factor 1 (LEF-1) (T cell-specific transcription factor 1-alpha) (TCF1-alpha)	Transcription factor 7 (TCF-7) (T-cell-specific transcription factor 1) (T-cell factor 1) (TCF-1)
LEPR	LEPR	Leptin receptor (LEP-R) (HuB219) (OB receptor) (OB-R) (CD antigen CD295)	Leptin receptor (LEP-R) (HuB219) (OB receptor) (OB-R) (CD antigen CD295)
LEPROTL1	PPP1R2	Leptin receptor overlapping transcript-like 1 (Endospanin-2)	Protein phosphatase inhibitor 2 (IPP-2)
LGALS13	LGALS16	Galactoside-binding soluble lectin 13 (Galectin-13) (Gal-13) (Placental tissue protein 13) (PP13) (Placental protein 13)	Galectin-16
LGALS9B	LGALS9C	Galectin-9B (Gal-9B) (Galectin-9-like protein A)	Galectin-9C (Gal-9C) (Galectin-9-like protein B)
LHFPL4	LHFPL4	LHFPL tetraspan subfamily member 4 protein (GABAA receptor regulatory Lhfpl4) (Lipoma HMGIC fusion partner-like 4 protein)	LHFPL tetraspan subfamily member 4 protein (GABAA receptor regulatory Lhfpl4) (Lipoma HMGIC fusion partner-like 4 protein)
LIG1	LIG1	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)	DNA ligase 1 (EC 6.5.1.1) (DNA ligase I) (Polydeoxyribonucleotide synthase [ATP] 1)
LIG3	LIG3	DNA ligase 3 (EC 6.5.1.1) (DNA ligase III) (Polydeoxyribonucleotide synthase [ATP] 3)	DNA ligase 3 (EC 6.5.1.1) (DNA ligase III) (Polydeoxyribonucleotide synthase [ATP] 3)
LILRA2	LILRB2	Leukocyte immunoglobulin-like receptor subfamily A member 2 (CD85 antigen-like family member H) (Immunoglobulin-like transcript 1) (ILT-1) (Leukocyte immunoglobulin-like receptor 7) (LIR-7) (CD antigen CD85h)	Leukocyte immunoglobulin-like receptor subfamily B member 2 (LIR-2) (Leukocyte immunoglobulin-like receptor 2) (CD85 antigen-like family member D) (Immunoglobulin-like transcript 4) (ILT-4) (Monocyte/macrophage immunoglobulin-like receptor 10) (MIR-10) (CD antigen CD85d)
LILRB3	PILRA	Leukocyte immunoglobulin-like receptor subfamily B member 3 (LIR-3) (Leukocyte immunoglobulin-like receptor 3) (CD85 antigen-like family member A) (Immunoglobulin-like transcript 5) (ILT-5) (Monocyte inhibitory receptor HL9) (CD antigen CD85a)	Paired immunoglobulin-like type 2 receptor alpha (Cell surface receptor FDF03) (Inhibitory receptor PILR-alpha)
LIN28A	ZC3H12D	Protein lin-28 homolog A (Lin-28A) (Zinc finger CCHC domain-containing protein 1)	Probable ribonuclease ZC3H12D (EC 3.1.-.-) (MCP-induced protein 4) (Transformed follicular lymphoma) (Zinc finger CCCH domain-containing protein 12D) (p34)
LIN37	LIN52	Protein lin-37 homolog (Antolefinin)	Protein lin-52 homolog
LIN54	TFDP2	Protein lin-54 homolog (CXC domain-containing protein 1)	Transcription factor Dp-2 (E2F dimerization partner 2)
LIN7C	PURB	Protein lin-7 homolog C (Lin-7C) (Mammalian lin-seven protein 3) (MALS-3) (Vertebrate lin-7 homolog 3) (Veli-3)	Transcriptional regulator protein Pur-beta (Purine-rich element-binding protein B)
LLPH	SZRD1	Protein LLP homolog (Protein LAPS18-like)	SUZ RNA-binding domain-containing (SUZ domain-containing protein 1) (Putative MAPK-activating protein PM18/PM20/PM22)
