Gene	"Gene synonym"	Ensembl	"Gene description"	Uniprot	Chromosome	Position	"Protein class"	"Biological process"	"Molecular function"	"Disease involvement"	Evidence	"HPA evidence"	"UniProt evidence"	"NeXtProt evidence"	"RNA tissue specificity"	"RNA tissue distribution"	"RNA tissue specificity score"	"RNA tissue specific nTPM"	"RNA single cell type specificity"	"RNA single cell type distribution"	"RNA single cell type specificity score"	"RNA single cell type specific nTPM"	"RNA single nuclei brain specificity"	"RNA single nuclei brain distribution"	"RNA single nuclei brain specificity score"	"RNA single nuclei brain specific nTPM"	"RNA cancer specificity"	"RNA cancer distribution"	"RNA cancer specificity score"	"RNA cancer specific FPKM"	"RNA brain regional specificity"	"RNA brain regional distribution"	"RNA brain regional specificity score"	"RNA brain regional specific nTPM"	"RNA blood cell specificity"	"RNA blood cell distribution"	"RNA blood cell specificity score"	"RNA blood cell specific nTPM"	"RNA blood lineage specificity"	"RNA blood lineage distribution"	"RNA blood lineage specificity score"	"RNA blood lineage specific nTPM"	"RNA cell line specificity"	"RNA cell line distribution"	"RNA cell line specificity score"	"RNA cell line specific nTPM"	"RNA tissue cell type enrichment"	"RNA mouse brain regional specificity"	"RNA mouse brain regional distribution"	"RNA mouse brain regional specificity score"	"RNA mouse brain regional specific nTPM"	"RNA pig brain regional specificity"	"RNA pig brain regional distribution"	"RNA pig brain regional specificity score"	"RNA pig brain regional specific nTPM"	Antibody	"Reliability (IH)"	"Reliability (Mouse Brain)"	"Reliability (IF)"	"Subcellular location"	"Secretome location"	"Secretome function"	"CCD Protein"	"CCD Transcript"	"Blood concentration - Conc. blood IM [pg/L]"	"Blood concentration - Conc. blood MS [pg/L]"	"Blood expression cluster"	"Tissue expression cluster"	"Brain expression cluster"	"Cell line expression cluster"	"Single cell expression cluster"	Interactions	"Subcellular main location"	"Subcellular additional location"	"Antibody RRID"	"Cancer prognostics - Bladder Urothelial Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (TCGA)"	"Cancer prognostics - Breast Invasive Carcinoma (validation)"	"Cancer prognostics - Cervical Squamous Cell Carcinoma and Endocervical Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (TCGA)"	"Cancer prognostics - Colon Adenocarcinoma (validation)"	"Cancer prognostics - Glioblastoma Multiforme (TCGA)"	"Cancer prognostics - Glioblastoma Multiforme (validation)"	"Cancer prognostics - Head and Neck Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Chromophobe (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (TCGA)"	"Cancer prognostics - Kidney Renal Clear Cell Carcinoma (validation)"	"Cancer prognostics - Kidney Renal Papillary Cell Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (TCGA)"	"Cancer prognostics - Liver Hepatocellular Carcinoma (validation)"	"Cancer prognostics - Lung Adenocarcinoma (TCGA)"	"Cancer prognostics - Lung Adenocarcinoma (validation)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (TCGA)"	"Cancer prognostics - Lung Squamous Cell Carcinoma (validation)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (TCGA)"	"Cancer prognostics - Ovary Serous Cystadenocarcinoma (validation)"	"Cancer prognostics - Pancreatic Adenocarcinoma (TCGA)"	"Cancer prognostics - Pancreatic Adenocarcinoma (validation)"	"Cancer prognostics - Prostate Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (TCGA)"	"Cancer prognostics - Rectum Adenocarcinoma (validation)"	"Cancer prognostics - Skin Cuteneous Melanoma (TCGA)"	"Cancer prognostics - Stomach Adenocarcinoma (TCGA)"	"Cancer prognostics - Testicular Germ Cell Tumor (TCGA)"	"Cancer prognostics - Thyroid Carcinoma (TCGA)"	"Cancer prognostics - Uterine Corpus Endometrial Carcinoma (TCGA)"
SPACA1	SAMP32	ENSG00000118434	"Sperm acrosome associated 1"	Q9HBV2	6	88047841-88066838	"Predicted membrane proteins"			"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	390	"testis: 40.7"	"Cell type enriched"	"Detected in some"	25	"Early spermatids: 1312.8"	"Cell type enhanced"	"Detected in single"		"hippocampal CA4: 2.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA026744, HPA043297"	Enhanced		Supported	Acrosome			NA	NA				"Cluster 42: Testis - Spermatogenesis"			"Cluster 18: Early spermatids - Unknown function"	36	Acrosome		"HPA026744: AB_2194642, HPA043297: AB_2678413"																															
SPACA3	"ALLP17, CT54, LYC3, LYZL3, SLLP1"	ENSG00000141316	"Sperm acrosome associated 3"	Q8IXA5	17	32970376-32997877	"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	6	"testis: 121.8"	"Group enriched"	"Detected in some"	99	"Early spermatids: 1378.1;Late spermatids: 1100.1"	"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Rectum Adenocarcinoma (TCGA): 2.3"	"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	5	"memory B-cell: 1.2"	"Lineage enriched"	"Detected in single"	5	"B-cells: 1.2"	"Cancer enriched"	"Detected in single"	11	"Myeloma: 8.3"	"Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA023633	Enhanced		Approved	Acrosome	"Secreted in male reproductive system"	"No annotated function"	NA	NA				"Cluster 46: Testis - Spermatogenesis"	"Cluster 10: Cerebellum - Nucleic acid binding"	"Cluster 51: Myeloma - Immunoglobulins"	"Cluster 21: Early spermatids - Spermatogenesis"	1	Acrosome		"HPA023633: AB_1857407"					"unprognostic (4.38e-1)"	"unprognostic (7.48e-2)"																			"unprognostic (1.88e-3)"	"unprognostic (1.01e-2)"	"unprognostic (1.02e-1)"				
SPACA4	SAMP14	ENSG00000177202	"Sperm acrosome associated 4"	Q8TDM5	19	48606742-48607714	"Predicted intracellular proteins"	"Cell adhesion"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	32	"testis: 114.5"	"Group enriched"	"Detected in some"	93	"Early spermatids: 1020.1;Late spermatids: 363.3"	"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in some"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in single"		"colorectal cancer: 1.3"	"Colon - Colon enterocytes, Prostate - Urothelial cells, Stomach - Gastric mucous cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"HPA041927, HPA061302"	Enhanced		Enhanced	Acrosome			NA	NA				"Cluster 46: Testis - Spermatogenesis"		"Cluster 2: Mucus-secreting cells - Unknown function"	"Cluster 21: Early spermatids - Spermatogenesis"		Acrosome		"HPA041927: AB_10794162, HPA061302: AB_2684475"			"unprognostic (2.69e-1)"	"potential prognostic favorable (4.57e-4)"	"unprognostic (2.35e-1)"	"unprognostic (7.85e-2)"										"unprognostic (1.04e-1)"						"unprognostic (2.62e-1)"			"unprognostic (1.01e-1)"	"unprognostic (9.87e-3)"		"unprognostic (5.04e-1)"			
SPACA7	C13orf28	ENSG00000153498	"Sperm acrosome associated 7"	Q96KW9	13	112376355-112434689	"Predicted intracellular proteins, Predicted secreted proteins"	Fertilization			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	150	"testis: 81.7"	"Group enriched"	"Detected in some"	29	"Early spermatids: 1215.1;Late spermatids: 966.3"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"Immune cell enhanced"	"Detected in single"		"neutrophil: 1.0"	"Lineage enriched"	"Detected in single"	5	"granulocytes: 1.0"	"Not detected"	"Not detected"			"Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"							HPA048349	Enhanced		Approved	"Microtubules,Mitochondria,Acrosome,Equatorial segment,Principal piece,End piece"	"Secreted in male reproductive system"	Other	NA	NA			"Cluster 20: Non-specific - DNA binding"	"Cluster 10: Testis - Spermatid development"	"Cluster 48: Non-specific - Mixed function"	"Cluster 71: Lymphoma - Inflammatory response"	"Cluster 11: Late spermatids - Unknown function"		"Microtubules, Acrosome"	"Mitochondria, Equatorial segment, Principal piece, End piece"	"HPA048349: AB_2732548"																															
SPACA9	"C9orf9, Mast"	ENSG00000165698	"Sperm acrosome associated 9"	Q96E40	9	132878027-132890201	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in all"	4	"epididymis: 72.2;fallopian tube: 37.9;testis: 127.6"	"Group enriched"	"Detected in many"	16	"Early spermatids: 1499.3;Late spermatids: 2403.0"	"Cell type enhanced"	"Detected in all"		"ependymal cell: 57.2"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Lung - Respiratory ciliated cells, Testis - Late spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			"HPA022243, HPA051600"	Enhanced		Supported	"Vesicles,Cytosol,End piece"			NA	No			"Cluster 24: Non-specific - Transcription"	"Cluster 63: Testis - Spermatid development"	"Cluster 39: Astrocytes - Mixed function"	"Cluster 70: DU4475 - Unknown function"	"Cluster 11: Late spermatids - Unknown function"	9	Vesicles	"Cytosol, End piece"	"HPA022243: AB_1845844, HPA051600: AB_2681546"	"unprognostic (3.09e-2)"	"unprognostic (1.07e-1)"		"unprognostic (2.18e-2)"	"unprognostic (3.99e-3)"	"unprognostic (6.93e-3)"	"unprognostic (2.18e-1)"	"unprognostic (1.78e-1)"	"unprognostic (9.48e-2)"	"unprognostic (1.28e-1)"	"unprognostic (2.94e-3)"	"unprognostic (4.68e-2)"	"unprognostic (1.17e-2)"	"unprognostic (1.43e-3)"		"unprognostic (6.16e-2)"	"unprognostic (3.10e-1)"	"unprognostic (3.08e-2)"	"unprognostic (9.48e-2)"	"unprognostic (3.24e-1)"	"unprognostic (5.48e-2)"	"unprognostic (1.51e-1)"	"unprognostic (9.40e-2)"	"unprognostic (5.84e-2)"	"unprognostic (4.85e-2)"	"unprognostic (1.42e-2)"	"unprognostic (7.61e-2)"	"unprognostic (1.98e-1)"	"unprognostic (2.43e-2)"	"unprognostic (8.34e-2)"	"unprognostic (1.37e-3)"
SPACDR	"C7orf61, IMAGE:4839025"	ENSG00000185955	"Sperm acrosome developmental regulator"	Q8IZ16	7	100456620-100464260	"Disease related genes, Predicted intracellular proteins"	"Differentiation, Spermatogenesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in many"	7	"testis: 66.5"	"Group enriched"	"Detected in many"	26	"Early spermatids: 685.9;Late spermatids: 353.5"	"Cell type enhanced"	"Detected in many"		"astrocyte: 35.9;oligodendrocyte: 21.5"	"Cancer enriched"	"Detected in many"	5	"Glioblastoma Multiforme (TCGA): 12.9"	"Low region specificity"	"Detected in all"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Low cancer specificity"	"Detected in many"			"Testis - Early spermatids, Testis - Late spermatids"					"Low region specificity"	"Detected in all"			HPA060395	Enhanced		Approved	Vesicles,Acrosome			NA	NA			"Cluster 28: Neutrophils - Unknown function"	"Cluster 44: Testis - Spermatogenesis"	"Cluster 6: Non-specific - Immune response"	"Cluster 48: Adipocytes & Endothelial cells - Angiogenesis"	"Cluster 18: Early spermatids - Unknown function"		"Vesicles, Acrosome"		"HPA060395: AB_2684274"	"unprognostic (1.46e-2)"		"unprognostic (1.91e-1)"	"unprognostic (3.31e-1)"			"unprognostic (7.87e-2)"	"unprognostic (5.39e-3)"					"unprognostic (3.41e-2)"			"unprognostic (1.48e-2)"				"unprognostic (3.17e-1)"	"unprognostic (7.00e-2)"									"unprognostic (1.85e-2)"	"unprognostic (2.40e-3)"
SPAG1	"CILD28, CT140, DNAAF13, FLJ32920, HSD-3.8, SP75, TPIS"	ENSG00000104450	"Sperm associated antigen 1"	Q07617	8	100157906-100259278	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	Fertilization	Hydrolase	"Ciliopathy, Kartagener syndrome, Primary ciliary dyskinesia"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Low tissue specificity"	"Detected in many"			"Cell type enhanced"	"Detected in many"		"Ciliated cells: 149.2;Early spermatids: 129.7;Spermatocytes: 78.5"	"Cell type enhanced"	"Detected in all"		"choroid plexus epithelial cell: 281.0;ependymal cell: 465.1"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in single"			"Low lineage specificity"	"Detected in single"			"Low cancer specificity"	"Detected in all"			"Skin - Keratinocyte (granular), Testis - Early spermatids"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"HPA023748, HPA053682"	Enhanced		Supported	"Primary cilium,Cytosol,Principal piece"			NA	NA			"Cluster 45: Eosinophils - Unknown function"	"Cluster 46: Testis - Spermatogenesis"	"Cluster 44: Non-specific - Mixed function"	"Cluster 40: Non-specific - Unknown function"	"Cluster 42: Ciliated cells - Cilium assembly"	5	"Primary cilium, Cytosol, Principal piece"		"HPA023748: AB_2671304, HPA053682: AB_2682229"	"unprognostic (4.48e-2)"	"unprognostic (7.59e-2)"	"unprognostic (3.73e-1)"	"unprognostic (6.43e-2)"	"unprognostic (9.67e-2)"	"unprognostic (1.25e-2)"	"unprognostic (1.16e-1)"	"unprognostic (8.26e-2)"	"unprognostic (3.58e-1)"	"unprognostic (1.23e-2)"	"unprognostic (3.75e-3)"	"unprognostic (2.71e-1)"	"unprognostic (1.05e-2)"	"unprognostic (1.88e-2)"	"unprognostic (6.15e-2)"	"unprognostic (5.87e-3)"	"unprognostic (6.96e-3)"	"unprognostic (1.02e-1)"	"unprognostic (1.00e-2)"	"unprognostic (3.54e-1)"	"unprognostic (2.65e-1)"	"unprognostic (1.72e-1)"	"unprognostic (1.81e-2)"	"unprognostic (1.09e-1)"	"unprognostic (9.02e-2)"	"unprognostic (1.31e-1)"	"unprognostic (2.18e-1)"	"unprognostic (1.84e-2)"	"unprognostic (1.12e-1)"	"unprognostic (3.12e-2)"	"unprognostic (8.92e-3)"
SPAG17	"CT143, FLJ34497, PF6, RP4-776P7.2"	ENSG00000155761	"Sperm associated antigen 17"	Q6Q759	1	117953590-118185228	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Cilium biogenesis/degradation, Differentiation, Spermatogenesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enhanced"	"Detected in many"		"choroid plexus: 26.5;testis: 14.5"	"Group enriched"	"Detected in many"	6	"Ciliated cells: 165.2;Early spermatids: 273.5;Late spermatids: 372.3"	"Group enriched"	"Detected in all"	17	"choroid plexus epithelial cell: 606.0;ependymal cell: 1720.2"	"Low cancer specificity"	"Detected in many"			"Region enhanced"	"Detected in many"		"choroid plexus: 56.2"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Rhabdoid: 1.3"	"Lung - Respiratory ciliated cells, Testis - Early spermatids, Testis - Late spermatids"	"Not detected"	"Not detected"			"Region enhanced"	"Detected in many"		"midbrain: 14.2"	"HPA028597, HPA028666"	Enhanced		Approved	"Equatorial segment,Mid piece,Principal piece"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 15: Kidney cancer - Membrane components"	"Cluster 42: Ciliated cells - Cilium assembly"	2	"Mid piece, Principal piece"	"Equatorial segment"	"HPA028597: AB_10600221, HPA028666: AB_10602281"	"unprognostic (3.14e-2)"	"unprognostic (3.76e-2)"	"unprognostic (1.70e-1)"	"unprognostic (4.73e-3)"				"potential prognostic unfavorable (2.90e-5)"	"unprognostic (8.17e-2)"		"potential prognostic unfavorable (3.40e-4)"	"unprognostic (5.30e-2)"	"unprognostic (3.85e-3)"		"potential prognostic unfavorable (4.60e-5)"	"unprognostic (2.08e-2)"	"unprognostic (8.09e-2)"	"unprognostic (3.07e-1)"	"unprognostic (1.41e-1)"		"unprognostic (2.23e-2)"		"unprognostic (7.94e-3)"								"unprognostic (2.73e-2)"
SPAG6	"CFAP194, CT141, FAP194, PF16, Repro-SA-1"	ENSG00000077327	"Sperm associated antigen 6"	O75602	10	22345445-22454224	"Predicted intracellular proteins"	"Cilium biogenesis/degradation"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at transcript level"	"Evidence at protein level"	"Group enriched"	"Detected in some"	6	"choroid plexus: 96.8;fallopian tube: 47.4;testis: 93.5"	"Group enriched"	"Detected in some"	6	"Ciliated cells: 168.5;Early spermatids: 304.4;Spermatocytes: 306.3"	"Group enriched"	"Detected in all"	21	"choroid plexus epithelial cell: 187.3;ependymal cell: 429.4"	"Cancer enhanced"	"Detected in many"		"Kidney Renal Papillary Cell Carcinoma (TCGA): 5.9"	"Region enhanced"	"Detected in all"		"choroid plexus: 133.8"	"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Cancer enhanced"	"Detected in some"		"Leukemia: 7.4;Myeloma: 6.8;Rhabdoid: 4.6"	"Breast - Breast glandular cells, Lung - Respiratory ciliated cells, Prostate - Prostate glandular cells, Skin - Eccrine sweat gland cells, Testis - Early spermatids"	"Low region specificity"	"Detected in single"			"Region enhanced"	"Detected in many"		"midbrain: 14.7"	HPA038440	Enhanced		Supported	"Calyx,Mid piece,Principal piece,End piece"			NA	NA			"Cluster 13: Non-specific - Mitochondria"	"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 65: Non-specific - Unknown function"	"Cluster 42: Ciliated cells - Cilium assembly"		"Calyx, Mid piece, Principal piece, End piece"		"HPA038440: AB_10671742"		"unprognostic (1.66e-1)"	"unprognostic (2.02e-3)"	"unprognostic (1.83e-3)"									"unprognostic (4.42e-2)"			"unprognostic (1.12e-1)"	"unprognostic (1.46e-1)"	"unprognostic (2.15e-1)"	"unprognostic (2.69e-2)"	"unprognostic (2.43e-1)"	"unprognostic (3.28e-1)"	"unprognostic (3.09e-2)"		"unprognostic (2.14e-1)"					"unprognostic (1.03e-2)"		
SPAG8	"BS-84, CT142, HSD-1, hSMP-1, SPAG3"	ENSG00000137098	"Sperm associated antigen 8"	Q99932	9	35808045-35812272	"Predicted intracellular proteins"	"Cell cycle, Differentiation, Fertilization, Spermatogenesis"			"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Group enriched"	"Detected in many"	5	"choroid plexus: 11.0;fallopian tube: 13.7;testis: 10.0"	"Cell type enhanced"	"Detected in many"		"Ciliated cells: 111.2;Early spermatids: 63.9;Late spermatids: 24.6;Spermatocytes: 49.2"	"Group enriched"	"Detected in all"	15	"choroid plexus epithelial cell: 166.8;ependymal cell: 346.8"	"Low cancer specificity"	"Detected in some"			"Region enhanced"	"Detected in all"		"choroid plexus: 33.4"	"Low immune cell specificity"	"Detected in some"			"Low lineage specificity"	"Detected in many"			"Not detected"	"Not detected"			"Lung - Respiratory ciliated cells, Skeletal muscle - Fibroblasts, Testis - Early spermatids"	"Low region specificity"	"Detected in many"			"Low region specificity"	"Detected in all"			HPA068012	Enhanced		Supported	"Nucleoplasm,Primary cilium,Cytosol,Acrosome,Equatorial segment,Principal piece,End piece"			NA	NA				"Cluster 8: Ciliated cells - Cilium organization"	"Cluster 3: Choroid plexus - Cilium"	"Cluster 10: Ciliated cells - Ion channel activity"	"Cluster 42: Ciliated cells - Cilium assembly"	4	"Primary cilium, Acrosome, Equatorial segment, End piece"	"Nucleoplasm, Cytosol, Principal piece"	"HPA068012: AB_2685941"			"unprognostic (1.51e-1)"					"unprognostic (1.96e-1)"							"unprognostic (1.42e-1)"					"unprognostic (2.76e-2)"	"unprognostic (1.11e-3)"		"unprognostic (1.32e-1)"							"unprognostic (1.20e-2)"	"unprognostic (8.42e-2)"
SPATA12		ENSG00000186451	"Spermatogenesis associated 12"	Q7Z6I5	3	57060664-57075432	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	55	"testis: 19.9"	"Group enriched"	"Detected in some"	183	"Early spermatids: 338.0;Late spermatids: 1272.9"	"Cell type enhanced"	"Detected in some"		"choroid plexus epithelial cell: 7.2;endothelial cell: 3.1"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in many"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Late spermatids"									"HPA043323, HPA075578"	Enhanced		Approved	"Nucleoplasm,Plasma membrane,Cytosol"			No	No				"Cluster 20: Testis - Spermatogenesis"	"Cluster 8: Immune cells - Immune response"	"Cluster 46: Lymphoma - Humoral immune response"	"Cluster 36: Late spermatids - Unknown function"	22	"Nucleoplasm, Cytosol"	"Plasma membrane"	"HPA043323: AB_10796792, HPA075578: "			"unprognostic (2.74e-1)"			"unprognostic (3.22e-2)"																	"unprognostic (1.78e-2)"			"unprognostic (3.98e-2)"					
SPATA16	NYD-SP12	ENSG00000144962	"Spermatogenesis associated 16"	Q9BXB7	3	172889357-173141235	"Disease related genes, Human disease related genes, Predicted intracellular proteins"	"Differentiation, Spermatogenesis"	"Developmental protein"	"Disease variant"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in single"	578	"testis: 57.8"	"Group enriched"	"Detected in some"	16	"Early spermatids: 329.0;Late spermatids: 132.1;Spermatocytes: 153.7"	"Cell type enhanced"	"Detected in some"		"deep-layer near-projecting: 5.1"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Not detected in immune cells"	"Not detected"			"Not detected"	"Not detected"			"Not detected"	"Not detected"			"Testis - Early spermatids"	"Not detected"	"Not detected"			"Not detected"	"Not detected"			HPA037884	Enhanced						NA	NA				"Cluster 10: Testis - Spermatid development"		"Cluster 50: Lymphoma - Unknown function"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"				"HPA037884: AB_2675717"																															
SPATA24	"CCDC161, T6441"	ENSG00000170469	"Spermatogenesis associated 24"	Q86W54	5	139396563-139404089	"Predicted intracellular proteins"	"Differentiation, Spermatogenesis, Transcription, Transcription regulation"	"Developmental protein, DNA-binding"		"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in all"	6	"testis: 142.9"	"Cell type enriched"	"Detected in many"	4	"Late spermatids: 2890.3"	"Cell type enhanced"	"Detected in many"		"ependymal cell: 18.0"	"Low cancer specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			"Low immune cell specificity"	"Detected in many"			"Low lineage specificity"	"Detected in all"			"Low cancer specificity"	"Detected in all"			"Heart muscle - Cardiomyocytes, Testis - Late spermatids, Thyroid gland - Thyroid glandular cells"	"Low region specificity"	"Detected in all"			"Low region specificity"	"Detected in all"			HPA044000	Enhanced		Supported	Nucleoplasm,Cytosol			NA	NA			"Cluster 3: Non-specific - Nuclear processes"	"Cluster 63: Testis - Spermatid development"	"Cluster 46: Brainstem - Mixed function"	"Cluster 22: Non-specific - mRNA splicing & Cell cycle"	"Cluster 11: Late spermatids - Unknown function"	9	"Nucleoplasm, Cytosol"		"HPA044000: AB_10959668"	"unprognostic (6.54e-3)"	"unprognostic (1.36e-2)"	"unprognostic (8.71e-2)"	"unprognostic (8.19e-2)"	"unprognostic (6.44e-3)"	"unprognostic (6.29e-2)"	"unprognostic (1.40e-1)"	"unprognostic (1.07e-1)"	"unprognostic (2.82e-1)"	"unprognostic (1.23e-3)"	"potential prognostic favorable (4.81e-5)"	"unprognostic (7.94e-3)"	"potential prognostic favorable (2.16e-4)"	"potential prognostic unfavorable (2.59e-6)"	"unprognostic (2.47e-2)"	"unprognostic (2.52e-1)"	"unprognostic (2.30e-1)"	"unprognostic (3.19e-1)"	"unprognostic (7.64e-2)"	"unprognostic (1.89e-2)"	"unprognostic (3.38e-3)"	"unprognostic (7.94e-3)"	"unprognostic (2.36e-1)"	"unprognostic (2.17e-1)"	"unprognostic (4.20e-2)"	"unprognostic (2.16e-3)"	"unprognostic (2.93e-3)"	"unprognostic (2.52e-2)"	"unprognostic (2.52e-1)"	"unprognostic (1.45e-1)"	"unprognostic (6.13e-2)"
SPATA4	"CFAP178, FAP178, SPEF1B, TSARG2"	ENSG00000150628	"Spermatogenesis associated 4"	Q8NEY3	4	176184579-176195585	"Predicted intracellular proteins"				"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Evidence at protein level"	"Tissue enriched"	"Detected in some"	16	"testis: 135.4"	"Group enriched"	"Detected in some"	19	"Early spermatids: 1038.9;Late spermatids: 616.1;Spermatocytes: 375.7"	"Cell type enriched"	"Detected in many"	6	"ependymal cell: 36.1"	"Low cancer specificity"	"Detected in some"			"Low region specificity"	"Detected in all"			"Immune cell enriched"	"Detected in single"	9	"basophil: 1.2"	"Lineage enriched"	"Detected in single"	9	"granulocytes: 1.2"	"Not detected"	"Not detected"			"Lung - Respiratory ciliated cells, Testis - Early spermatids"	"Not detected"	"Not detected"			"Low region specificity"	"Detected in all"			"HPA019220, HPA030791"	Enhanced		Supported	Nucleoplasm,Vesicles,Cytosol			NA	NA			"Cluster 32: Basophils - Transcription"	"Cluster 42: Testis - Spermatogenesis"	"Cluster 17: Choroid plexus - Cilium"	"Cluster 72: Neuronal - Signal transduction"	"Cluster 70: Spermatocytes & Spermatids - Spermatid development"	2	Nucleoplasm	"Vesicles, Cytosol"	"HPA019220: AB_1857420, HPA030791: "			"unprognostic (2.17e-1)"				"unprognostic (2.71e-3)"	"unprognostic (1.44e-2)"			"potential prognostic favorable (2.35e-6)"	"unprognostic (3.89e-2)"	"potential prognostic favorable (8.14e-4)"																		
